customer_id,tenure_months,age,avg_purchase,support_quality,delivery_speed,pricing,churn_prob,nps_score,region
1,29,20,70.94821234462981,7.273141668957412,9.650715074415228,3.571408776536747,0.03,97,South
2,15,18,45.438516975972306,7.322356755883983,9.148155777604574,8.817392153705143,0.2,84,East
3,8,22,17.747276895405143,4.2354203609777965,2.762120213103668,3.0123625466750736,0.27,48,East
4,21,43,122.26965920576595,3.64232659838044,1.624251707876489,9.669002854965502,0.09,26,East
5,19,31,138.73722875003367,8.284250399306622,1.9070020123968399,1.109390272208347,0.1,68,East
6,23,56,13.15168749629267,8.291020552112627,1.1639964308639477,9.728909440368751,0.23,47,South
7,11,44,107.29768107686338,8.803650867220934,1.8499866468033557,1.388439207555185,0.15,70,West
8,11,26,53.03419728760821,9.219164973008242,7.147060960747211,9.02028802328264,0.1,83,North
9,24,32,132.58283017779547,5.60208158974844,1.6406978361420608,5.749309981776698,0.07,44,South
10,36,32,43.129621510948375,5.513646652184796,3.8707806726438516,9.936683165073703,0.0,47,North
11,24,43,141.27817023946852,8.184656610700976,8.60387779872509,1.6641690826185898,0.07,100,West
12,3,59,83.4797157971021,6.849675376999887,1.209447421622433,5.984688559611887,0.25,48,East
13,22,30,187.97869785997955,7.31770189531933,8.330216343300421,9.72372282057189,0.08,78,West
14,2,49,36.12897938773872,8.16213402492491,3.5366929729605996,5.707880597531339,0.46,67,South
15,24,56,74.80260669954912,9.010048076358096,2.0634834485949063,6.664587743217362,0.09,62,East
16,30,49,31.559969035711923,4.041956411663822,7.270634488277356,7.261738200861554,0.08,62,South
17,2,21,185.69178747292693,4.380246573759496,6.660485621018956,5.090869582909959,0.14,65,East
18,21,47,176.6944771423864,1.845837458567821,8.897248121743477,6.648022720756571,0.09,60,North
19,33,54,59.008909265879566,6.204521268965566,7.615639394234972,6.258828807307902,0.02,76,North
20,12,40,135.396968746494,1.3234804641706788,8.231328373463636,9.110422094418901,0.14,49,North
21,22,56,165.27221803823102,5.190382163192141,3.538311153141758,1.409017423073121,0.1,60,West
22,25,62,115.48815420389785,5.883801712368189,2.5969558940175053,3.528668706330073,0.08,55,South
23,27,32,110.63360988764123,3.5788712691545594,7.755532764767725,9.553703356689029,0.05,57,West
24,28,60,55.95193527108582,6.317499345121097,8.261512653405376,9.012374055018247,0.06,74,North
25,16,46,27.68952588312085,1.2745022494514449,9.91454627800606,5.100910775071417,0.27,65,South
26,15,53,180.4709940111321,1.3361336987429298,4.713559092202838,6.581193380213831,0.16,37,North
27,3,30,181.0794308610328,8.403405045936925,4.348162772135049,3.496430646830194,0.19,76,West
28,7,49,130.2892768819209,4.241715772701366,7.987716646677971,2.6930904375138516,0.17,75,West
29,21,24,74.41566029925313,2.143544613866963,4.06723186227716,5.173285644459839,0.06,40,West
30,9,39,76.34981917640557,5.700189340493239,9.376815930432082,4.180170052234475,0.16,87,North
31,18,45,147.93157898534548,7.9299419778874976,8.725714766587107,6.252905006657849,0.1,90,South
32,4,19,180.45094939098965,2.9423892474715885,4.860946246375165,1.6996117326848634,0.13,55,South
33,25,59,178.54642061037228,6.606014282371002,7.757839610123476,9.769553268995498,0.08,72,North
34,14,62,158.17635371294853,1.768127184943912,7.7908858667621415,9.875896700316426,0.16,48,South
35,9,23,131.98601276931467,1.4651354905174694,1.9281148195233935,7.2834554261777065,0.11,22,North
36,26,45,25.986593349059277,5.782191684113332,9.1229761601161,5.824867297097083,0.14,82,South
37,2,45,40.70945567797662,5.865716094490959,5.547271352030714,3.78574854657695,0.46,69,East
38,20,61,180.72529582014505,6.736869113483859,8.438117194969674,8.324155177362538,0.12,79,East
39,28,61,125.22152133532208,7.534822003503954,3.880446409275506,7.162580552984913,0.06,62,West
40,7,37,11.747439807159633,9.782668715162812,9.059709056465804,2.463552454104022,0.39,100,East
41,8,47,29.2795931445461,5.646703134710758,4.502815108607468,9.198344660444583,0.38,52,East
42,35,28,136.0653361305306,3.9066082564712135,1.0975388633226852,8.402835186308522,0.0,28,East
43,14,45,10.96170093078155,8.156675752918332,9.148437787773373,9.548199219627316,0.3,87,North
44,17,42,40.55352976932474,3.437490261358668,1.821580091075202,7.531475575495239,0.26,31,East
45,36,56,114.25941997965137,4.950742786350725,3.873822738313734,6.520736763422109,0.0,51,East
46,4,50,141.46008756161172,1.7061074320803935,9.550557703457244,4.76418732661557,0.24,66,West
47,2,18,133.8726393054941,1.2281566907391177,9.555464322438006,9.39455635018612,0.14,55,East
48,6,44,52.61116879750636,9.663835732101326,6.160940993109575,8.794575005503674,0.18,81,East
49,4,30,145.3140520560318,8.523821084609853,6.686534909528193,1.4069680309557047,0.19,93,South
50,29,58,55.077326624392015,7.263767854843282,5.036009697804878,1.2373027704752682,0.05,79,West
51,18,20,71.82594265026087,4.680576499728429,3.638896945282581,4.388170301902447,0.08,52,West
52,26,56,151.83336697242459,2.559648880637612,3.957980908329244,8.294979977036496,0.08,35,West
53,34,23,133.4302508189708,2.4079333840397745,7.052666104693346,9.8854851638345,0.01,47,West
54,10,25,171.3524479938938,3.252186083481358,7.77137076493912,2.3537520199317536,0.11,70,West
55,36,44,134.94644953706523,5.943039982355084,8.124211393532637,6.347176438169216,0.0,77,West
56,14,26,117.9786346337396,7.431363304300561,8.106563285150985,4.428017709679194,0.09,88,North
57,31,54,27.79820588733757,6.941776390459581,1.8208549274382133,9.72922958033143,0.09,44,East
58,15,50,79.86600258129236,3.5194050725134858,5.449782742323233,8.579070308221379,0.16,47,West
59,8,59,60.38844985952784,9.593787525968747,1.5180288401497986,8.54495834240024,0.21,58,East
60,14,61,56.35803224202588,7.641072250261916,5.94575994091362,5.218238438154732,0.16,77,East
61,23,41,194.87200540296465,5.989186472602606,4.973774512360393,4.733375521038987,0.08,65,North
62,21,32,84.68856768668448,6.5054867161091705,8.989337644824698,3.4606636473763563,0.09,90,West
63,16,49,179.48884548365152,4.776400561850109,4.158235112968708,1.507379469858344,0.12,61,South
64,18,49,129.91633893947994,3.229578905510417,2.053603147848453,8.782501386295479,0.1,28,North
65,24,41,161.0141476729132,4.2037541078613545,2.2869251384755227,8.316109082170698,0.07,35,South
66,26,58,105.5010476899865,7.820614994179322,7.85359568545725,9.997459059575176,0.08,78,East
67,25,29,119.61173807900823,1.1295413976678028,6.56396256984635,9.969731533665149,0.05,38,East
68,29,56,103.57836182558414,2.0446537645622462,1.9101040851051123,5.998885350423647,0.05,27,North
69,15,19,47.09616768162846,1.4140237781957747,1.756961255034977,7.9208867366245945,0.2,20,North
70,1,20,147.265901899686,1.3665592208707311,7.30872218313208,9.502891568941852,0.15,44,South
71,25,54,63.3467488637626,8.699145256099065,1.6548670572777417,8.646826516096702,0.08,54,West
72,7,34,14.62003362197623,7.332920734420213,8.396740533613206,3.226132915688779,0.39,92,South
73,9,19,132.63973622236188,5.267564461785927,7.3561800444084655,5.054897217790842,0.11,73,North
74,24,19,43.651029087339296,1.8805074458590134,1.7321390257770979,2.162434736363455,0.12,33,South
75,1,45,188.6871310270537,5.4245428760514915,1.7635394267667273,9.586459245328502,0.2,36,North
76,8,40,191.2464296304916,5.261245937025091,9.87975620651058,6.455571710057921,0.16,82,South
77,24,54,183.82423414188523,2.5588168291901368,4.368437161805083,3.0577852495311646,0.09,48,North
78,11,49,80.33015304853444,4.904664843141758,4.335779323602019,7.045306159652711,0.15,52,North
79,17,50,12.936757140484811,4.586542609576361,8.315196105317522,6.5631541641210625,0.33,71,North
80,8,18,186.3805268916678,6.542650882469948,9.525237196454729,4.223464462295564,0.12,91,West
81,35,36,91.35498818028972,6.715842857808794,9.874009574405838,2.022018329796661,0.01,98,South
82,35,19,193.66441561829723,1.4077360879484007,7.780403667330475,7.044158760335196,0.0,51,South
83,33,61,193.08779564695803,4.371513531638241,4.386336269778242,5.68276930813414,0.02,52,South
84,5,43,172.07179653879842,6.632739241428127,1.7515064502880189,7.950865525620754,0.18,46,North
85,28,49,65.94528949322128,5.528226327220789,7.994322243346931,5.68147151000794,0.05,76,South
86,7,23,83.1685684343658,8.7084085706949,6.025638247622245,8.669633502866862,0.12,76,South
87,9,49,171.7159675882028,6.928242684570505,4.817998083222786,5.9671615489703695,0.16,66,North
88,8,21,70.21518097969275,2.466409843732867,9.157189465852625,6.0484417438184765,0.12,66,East
89,12,28,42.20362187035757,1.6351187266038685,2.000777340755362,8.889882423925105,0.23,20,North
90,34,34,115.79223986708654,6.78177350385684,5.433625938617732,4.631345795911574,0.01,71,South
